indicator,varname,prevalence,se,ci_l,ci_u,prevalence_pct,ci_l_pct,ci_u_pct
Early neonatal death (0–7 days),early_neonatal_death,0.037943424410757445,0.003277342966885335,0.031519950230676545,0.044366898590838345,3.7943424410757447,3.1519950230676543,4.436689859083835
Very small size at birth,very_small_size,0.027186044187548178,0.0024379256098037536,0.022407797795344974,0.031964290579751385,2.718604418754818,2.2407797795344973,3.1964290579751387
