group,variable,n_unweighted,n_weighted,mean_w,sd_w
Excluded,anc_visits,212,171.46446799999995,19.53804555005532,32.45575795446358
Excluded,maternal_age,212,171.46446799999995,29.8027848953522,6.3346277877312716
Excluded,parity,212,171.46446799999995,3.1140596079649554,1.9318854228475861
Included,anc_visits,5860,5722.845034999977,10.71502609400996,18.995334016583953
Included,maternal_age,5860,5722.845034999977,29.55580985795476,6.514477937248432
Included,parity,5860,5722.845034999977,3.2124989501834427,2.195363205601618
