stratifier,level,n_unweighted,n_weighted,enn_risk,sba_coverage,cs_coverage,rd_sba,rr_sba,or_sba,rd_cs,rr_cs,or_cs
wealth_q,1,580,560.222886000001,0.06486984182220633,0.9428299792807807,0.05203894330014921,NA,NA,NA,NA,NA,NA
wealth_q,2,727,735.8325149999981,0.05621482763642228,0.9295090975967575,0.06288354354659106,NA,NA,NA,NA,NA,NA
wealth_q,3,1136,1088.5708700000007,0.046027274273837564,0.9497628702851448,0.07809723128086274,NA,NA,NA,NA,NA,NA
wealth_q,4,1578,1498.8212020000021,0.031797042860353085,0.9828984491507052,0.1151422943375201,NA,NA,NA,NA,NA,NA
wealth_q,5,1839,1839.397561999998,0.022657438968596417,0.9835345231364421,0.19642554196230927,NA,NA,NA,NA,NA,NA
urban,0,2574,2373.188406999991,0.05309948280056655,0.9509857364645405,0.08529638540409426,NA,NA,NA,NA,NA,NA
urban,1,3286,3349.6566279999934,0.027205553022433607,0.9766594670192558,0.14685013140994718,NA,NA,NA,NA,NA,NA
region,1,812,1164.4456480000074,0.0783138991129618,0.9693072218000128,0.12117610404775125,NA,NA,NA,NA,NA,NA
region,2,962,958.2793199999999,0.04650517659089211,0.9522618196540045,0.0822911518115616,NA,NA,NA,NA,NA,NA
region,3,1230,1098.046672000004,0.02429901085297393,0.9803759552763327,0.11177863120922017,NA,NA,NA,NA,NA,NA
region,4,1091,733.8405799999994,0.024792631391412037,0.9393103199607773,0.08769664931857549,NA,NA,NA,NA,NA,NA
region,5,811,697.1583249999992,0.029473989283567717,0.9807154221388663,0.14583705358463597,NA,NA,NA,NA,NA,NA
region,6,954,1071.0744900000016,0.01490445916604734,0.9687349485841991,0.173280182408228,NA,NA,NA,NA,NA,NA
facility_sector,other_facility,924,876.8568210000007,0.034129796659242706,0.893189375098673,0.02708484832553978,NA,NA,NA,NA,NA,NA
facility_sector,private,1659,1590.8704109999976,0.03005945215232246,0.9806100875428294,0.20148905013483237,NA,NA,NA,NA,NA,NA
facility_sector,public,3277,3255.1178030000083,0.04282385721079838,0.9784958965431252,0.10753202439475562,NA,NA,NA,NA,NA,NA
