wealth_quintile,n_unweighted,n_weighted,enn_risk_per_1000,sba_coverage_pct,cs_coverage_pct,rd_sba_per_1000,rd_cs_per_1000
1,580,560.222886000001,64.86984182220633,94.28299792807807,5.203894330014921,NA,NA
2,727,735.8325149999981,56.21482763642228,92.95090975967575,6.2883543546591065,NA,NA
3,1136,1088.5708700000007,46.02727427383756,94.97628702851448,7.809723128086274,NA,NA
4,1578,1498.8212020000021,31.797042860353084,98.28984491507052,11.51422943375201,NA,NA
5,1839,1839.397561999998,22.657438968596416,98.35345231364421,19.642554196230925,NA,NA
