exposure,exposure_val,variable,n_unweighted,n_weighted,mean_w,sd_w
csection,0,anc_visits,5158,5028.523126000005,10.534943871112247,19.09958406599372
csection,1,anc_visits,702,694.3219090000009,12.019244801045136,18.169331544598215
csection,0,birth_order,5158,5028.523126000005,1,0
csection,1,birth_order,702,694.3219090000009,1,0
csection,0,maternal_age,5158,5028.523126000005,29.36645136431251,6.510409864508815
csection,1,maternal_age,702,694.3219090000009,30.9272105757504,6.378223976717464
csection,0,parity,5158,5028.523126000005,3.2656383096049284,2.1929275910938992
csection,1,parity,702,694.3219090000009,2.827645045549033,2.1745031097614067
