adjustment,exposure,outcome,risk_exposed,risk_unexp,rd,rd_ci_l,rd_ci_u,rr,rr_ci_l,rr_ci_u,or,or_ci_l,or_ci_u,events_diff_per_1000
Crude (survey-weighted),csection,very_small_size,0.0363305099162584,0.025923406482112304,0.010407103434146095,-0.00613880905468038,0.02695301592297257,1.4014558596427986,0.8710949717084584,2.254723756096346,1.416590816370133,0.8595233377501655,2.334700470468771,10.407103434146094
Adjusted (PS overlap-weighted + survey),csection,very_small_size,0.0353810079454891,0.026533315847412215,0.008847692098076888,-0.007715529608815913,0.02541091380496969,1.333455952092765,0.811636067377677,2.190766092882637,1.3456866956334437,0.7960027418040824,2.274957845874557,8.847692098076887
