adjustment,exposure,outcome,risk_exposed,risk_unexp,rd,rd_ci_l,rd_ci_u,rr,rr_ci_l,rr_ci_u,or,or_ci_l,or_ci_u,events_diff_per_1000
Crude (survey-weighted),skilled_attendant,very_small_size,0.027587464556114917,0.0157764986614361,0.011810965894678817,-0.01094535043248512,0.03456728222184276,1.7486430384930347,0.42275854038126176,7.232857965004186,1.7698819947655962,0.41654100764299656,7.520225422991706,11.810965894678818
Adjusted (PS overlap-weighted + survey),skilled_attendant,very_small_size,0.02356878012976717,0.016204022308664155,0.007364757821103015,-0.01682020201899633,0.03154971766120236,1.4545018317560041,0.33712383729643014,6.275366332880707,1.4654724507875276,0.3314771878003234,6.478905888724047,7.364757821103015
